Supreme Court Case,citation,year,about,OL_context,just_mentioned,author,opinon,DPC,am_inc,other_am,clause_law,kind_1,kind_2,OL_includes,act_protect,OL_protect,drew_from_1,drew_from_2,Quotes,notes,,,,how used,notes
Palko v. Conneticut,302 U.S. 319,1937,"Palko determined whether double jeopardy was incorporated in the Due Process Clause and subsequently applicable to state governments. Instead of a total incorporation approach, the majority opted for a selective method, employing an American system of “ordered liberty” to determine which clauses and stipulations in the first eight amendments are prescribed to the states.","ordered liberty is conceived in constitutional law in this piece, and due to the height of the bar it sets and with such a narrow view of ordered liberty, Palko naturally ruled that the Due Process Clause would not absorb the 5th Amendment’s Double Jeopardy Clause.",0,Cardozo,1,1,6,-,double jeopardy,1,-,0,0,0,-,-,"laws had to be “of the very essence of a scheme of ordered liberty . . . ‘principle[s] of justice so rooted in the traditions and conscience of our people as to be ranked as fundamental.’”
The only reason why one of the first eight amendments would be incorporated into the 14th Amendment is if “the process of absorption has had its source in the belief that neither liberty nor justice would exist if they were sacrificed.”","For Palko’s majority opinion, a “statute [must] subject [a defendant] a hardship so acute[ly] and shocking[ly] that our polity will not endure it” for the Due Process Clause to come into effect. This definition of ordered liberty therefore is very narrow and rigid; a justice can use ordered liberty to incorporate a part of the first eight amendments only if a state government violates a fundamental American principle so horrendously that liberty itself is compromised.
""Ordered liberty used here in Constitutional Law for the first time is to determine which clauses and stipulations in the first 8 Amendments are prescribed to the states (instead of taking a total incorporation approach). Says that laws implicit in our scheme of ordered liberty are laws which are fundamentally rooted in history, traditions, and the conscience of the American people must be incorporated in the 14th Amendment Due Process clause. Says that double jeaopardy does not violate such a conscience, but gives examples that would, such as the violation of free thought and speech.
Ordered liberty in this here is a negative definition of liberty. Only """"If the Fourteenth Amendment has absorbed them, the process of absorption has had its source in the belief that neither liberty nor Justice would exist if they were sacrificed.""""(p302, case thing 327) So the only way that something counts here is if someone violates ordered liberty so horrendously that liberty itself is compromised. 
""""There emerges the perception of a rationalizing principle which gives to discrete instances a proper order and coherence. The right to trial by jury and the immunity from prosecution except as the result of an indictment may have value and importance. Even so, they are not of the very essence of a scheme of ordered liberty. To abolish them is not to violate a """"principle of justice so rooted in the traditions and conscience of our people as to be ranked as fundamental."""" Snyder v. Massachusetts, supra, p. 291 U. S. 105; Brown v. Mississippi, supra, p. 297 U. S. 285; Hebert v. Louisiana, 272 U. S. 312, 272 U. S. 316. Few would be so narrow or provincial as to maintain that a fair and enlightened system of justice would be impossible without them."""" (326)""",,,,,
Lisenba v. California,314 U.S. 219,1941,"the petitioner, who had been convicted of murder, appealed to the Supreme Court of California after his petition for habeas corpus was denied. The petitioner argued that the confession used against him during the trial was obtained through coercive methods by the police, violating his rights to due process under the Fourteenth Amendment of the U.S. Constitution. The court affirmed the decision of the state supreme court to deny the writ of habeas corpus, showing that even though the police conduct might have been deemed criminal under state law, the trial court and jury had determined the confessions were voluntary.",mentioned,,Roberts,1,1,6,-,"""fair trial""",1,,,1,,-,,,,,,,,
Bridges v. California,314 U.S. 252,1941,"In two separate cases, one involving a newspaper and individuals, and the other a labor leader, both were held in contempt of court for expressing opinions on pending cases through editorials and a telegram, respectively. The Supreme Court ruled that such freedoms could only be restricted if the expressions posed a clear and present danger of causing substantial harm, found that neither did this danger. The Court reversed the convictions and sentences.",To emphasize the importance of protecting the fullest opportunities for free discussion and expression. The Court's interpretation of ordered liberty in this case aimed to ensure that the essential attributes of liberty are preserved and that any misuse of these liberties is carefully evaluated,,Frankfurter,2,0,-,1st amendment,,1,,,1,,Palko,,,"protect: the use of OL protects the rights of the states, not nessarily an individual. Justices expressed their belief that California was justified in taking measures to protect its system of justice. Claimed that Calif was denied effective exercise of the judicial process and also denied Congress powers that had been exercised since the framing of the Constitution.",,,,,
Betts v. Brady,316 U.S. 455,1942,"The petitioner, an indigent (poor) defendant, requested appointed counsel for his robbery trial but was denied by the state court judge. The main issue was whether the Fourteenth Amendment required the appointment of counsel for every criminal offense. Ruled that the Fourteenth Amendment did not mandate appointed counsel for every case, as the Sixth Amendment guarantee of counsel only applied to federal trials.The denial of habeas corpus relief for the inmate was affirmed","The right to counsel in a criminal proceeding is described as ""fundamental.” The argument is made that denying the right to counsel, goes against the principles of ""ordered liberty."" Conveys the idea that a fair and just legal system requires certain fundamental rights",,Black,3,1,6,-,"""right to counsel""",1,,,1,,Palko,,,,,,,,
Schneiderman v. United States,320 U.S. 118,1943,"Schneiderman’s citizenship was canceled on grounds of “illegal procurement,” the Supreme Court reversed this judgement because they believed the prosecution did not prove their side with enough sufficient evidence. 
Using Under Article III of the Constitution, whether Congress can grant authority to re-examine a judgment that has become final also whether 
Under the Act of 1906 as it existed in 1927, the government can initiate a de novo (fresh) re-examination of a naturalization court's finding and judgment. ",mentioned,,Murphy,1,0,-,1st amendment,"""freedom of speech""",-,,,-,,-,,,,,,,,
Prince v. Massachusetts,321 U.S. 158,1944,"Sarah Prince, a Jehovah's Witness, was convicted for allowing her ward (a person under protection by the court), a nine-year olf girl, to distribute religious literature on the streets. This conviction was for violating Massachusett's child labor laws. Supreme Court ruled that protectign the welfare of children outweighed Prince's First Amendment rights to freely exercise religion. ","Court argued that proetcting children in order to preserve community welfare is a fundamental conecpt of ordered liberty, thus justifying the limitations of the free exercise of religion (and other individual rights) in order to achieve this. ",,Rutledge,1,1,1,-,"""freedom of religion"" ",1,,,0,,Palko,,,,,,,,
Screws v. United States,325 U.S. 91,1945,"Petitioner Screws, with the help of policeman / petitioner Jones and petitioner / special deputy Kelley arrested and beat up Robert Hall who was convicted for stealing a tire. They belived he was reaching for his gun and beat him until unconsciousness from which he did not wake up. Supreme Court rules in favor of defendants, Screw and his deputies. Their initial convictions were overturned on the grounds that for a conviction under the Civil Rights Act of 1870, the government must prove that the accused acted with the specific intent to deprive the individual of their constitutional rights. ",-,,-,- ,0,-,-,,,1,,,,Palko ,,,,,,,,
Wolf v. Colorado,338 U.S. 25,1949,"The main question is asking whether the 14th Amendment incorporates the 4th Amendment and the exclusionary rule. Adopting a selective incorporation approach, the Court decided that the 4th Amendment does apply to the states through the 14th Amendment, but the exclusionary rule, which prevents the state from using evidence obtained through unreasonable searches and seizures, is not incorporated.","Says that the 4th Amendment is a part of our scheme of ordered liberty, but that a remedy/enforcement of such a right is not necessarily a implicit in ordered liberty.",0,Frankfurter,1,1,4,-,"unreasonable search and seizure, exclusionary rule",1,-,1,0,0,Palko,Adamson v. California,"In rejecting the suggestion that the Due Process Clause incorporated the original Bill of Rights, Mr. Justice Cardozo reaffirmed on behalf of that  [*27]  Court a different but deeper and more pervasive conception of the Due Process Clause. This Clause exacts from the States for the lowliest and the most outcast all that is ""implicit in the concept of ordered liberty.""
The security of one's privacy against arbitrary intrusion by the police -- which is at the core of the Fourth Amendment -- is basic to a free society. It is therefore implicit in ""the concept of ordered liberty"" and as such enforceable against the States through the Due Process  [*28]  Clause. The knock at the door, whether by day or by night, as a prelude to a search, without authority of law but solely on the authority of the police, did not need the commentary of recent history to be condemned as inconsistent  [****6]  with  [***1786]  the conception of human rights enshrined in the history and the basic constitutional documents of English-speaking peoples.","Says that the 4th Amendment is a part of our scheme of ordered liberty, but that a remedy/enforcement of such a right is not necessarily a implicit in ordered liberty.
Quoted cases: Adamson v. California and Palko.",,,,,
Wolf v. Colorado,338 U.S. 25,1949,"The main question is asking whether the 14th Amendment incorporates the 4th Amendment and the exclusionary rule. Adopting a selective incorporation approach, the Court decided that the 4th Amendment does apply to the states through the 14th Amendment, but the exclusionary rule, which prevents the state from using evidence obtained through unreasonable searches and seizures, is not incorporated and should be dealt with through legislatures.","Stresses that ordered liberty very much incorporates the 4th amendment's protection against the arbitrary intrusion of the police, that this is essential to maintaining a free society. Does not include the exclusionary rule, however.",0,Black,2,1,4,-,"unreasonable search and seizure, exclusionary rule",1,-,1,0,0,Palko,,"It is not amiss to repeat my belief that the Fourteenth Amendment was intended to make the Fourth Amendment in its entirety applicable to the states. The Fourth Amendment was designed to protect people against unrestrained searches and seizures by sheriffs, policemen and other law enforcement officers. Such protection is an essential in a free society. And I am unable to agree that the protection of people from over-zealous or ruthless state officers is any less essential in a country of ""ordered liberty"" than is the protection of people from over-zealous or ruthless federal officers. Certainly there are far more state than federal enforcement officers and their activities, up to now, have more frequently and closely touched the intimate daily lives of people than have the activities of federal  [**1368]  officers. A state officer's ""knock at the door . . . as a prelude to a search, without authority of law,"" may be, as our experience shows, just as ominous to ""ordered liberty"" as though the knock were made by a federal officer.","the fourth amendment is included through the 4th amendment, but the exclusionary rule should be enforced if the legislature choses (delegates that to the legislative branches)",,,,,
Wolf v. Colorado,338 U.S. 25,1949,"The main question is asking whether the 14th Amendment incorporates the 4th Amendment and the exclusionary rule. Adopting a selective incorporation approach, the Court decided that the 4th Amendment does apply to the states through the 14th Amendment, but the exclusionary rule, which prevents the state from using evidence obtained through unreasonable searches and seizures, is not incorporated.","Agrees with the majority opinion that ordered liberty incorporates the unreasonable search and seizure clause, but says that without the exclusionary rule, there is no effective sanction. Essentially, the Justice rejects the imarginary alternatives that the Court is putting forth, saying that right now/at the time, the only way to enforce the 4th amendment is through the exclusionary rule. So without the exclusionary rule, there is no free society, no ordered liberty. Rejects a bit of the imaginary ordered liberty for a more grounded-in-our-current-system ordered liberty.",0,Murphy (Rutledge),3,1,4,-,"unreasonable search and seizure, exclusionary rule",1,-,1,0,1,Palko,Adamson v. California,"""It is disheartening to find so much that is right in an opinion which seems to me so fundamentally wrong. Of course, I agree with the Court that the Fourteenth Amendment prohibits activities which are proscribed by the search and seizure clause of the Fourth Amendment. See my dissenting views, and those of MR. JUSTICE BLACK, in Adamson v. California, 332 U. S. 46, 332 U. S. 68, 123. Quite apart from the blanket application of the Bill of Rights to the States, a devotee of democracy would ill-suit his name were he to suggest that his home's protection against unlicensed governmental invasion was not ""of the very essence of a scheme of ordered liberty."" Palko v. Connecticut, 302 U. S. 319, 302 U. S. 325. It is difficult for me to understand how the Court can go this far and yet be unwilling to make the step which can give some meaning to the pronouncements it utters."" (338) 

""Imagination and zeal may invent a dozen methods to give content to the commands of the Fourth Amendment. But this Court is limited to the remedies currently available. It cannot legislate the ideal system. If we would attempt the enforcement of the search and seizure clause in the ordinary case today, we are limited to three devices: judicial exclusion of the illegally obtained evidence; criminal prosecution of violators; and civil action against violators in the action of trespass.
Alternatives are deceptive. Their very statement conveys the impression that one possibility is as effective as the next. In this case their statement is blinding. For there is but one alternative to the rule of exclusion. That is no sanction at all.""",,,,,,
