Supreme Court Case,citation,year,about,OL_context,just_mentioned,author,opinon,DPC,am_inc,other_am,clause_law,kind_1,kind_2,OL_includes,act_protect,OL_protect,drew_from_1
Palko v. Conneticut,302 U.S. 319,1937,"Palko determined whether double jeopardy was incorporated in the Due Process Clause and subsequently applicable to state governments. Instead of a total incorporation approach, the majority opted for a selective method, employing an American system of “ordered liberty” to determine which clauses and stipulations in the first eight amendments are prescribed to the states.","ordered liberty is conceived in constitutional law in this piece, and due to the height of the bar it sets and with such a narrow view of ordered liberty, Palko naturally ruled that the Due Process Clause would not absorb the 5th Amendment’s Double Jeopardy Clause.",0,Cardozo,1,1,6,-,double jeopardy,"1,6",-,0,0,0,-
Lisenba v. California,314 U.S. 219,1941,"the petitioner, who had been convicted of murder, appealed to the Supreme Court of California after his petition for habeas corpus was denied. The petitioner argued that the confession used against him during the trial was obtained through coercive methods by the police, violating his rights to due process under the Fourteenth Amendment of the U.S. Constitution. The court affirmed the decision of the state supreme court to deny the writ of habeas corpus, showing that even though the police conduct might have been deemed criminal under state law, the trial court and jury had determined the confessions were voluntary.","ordered liberty is just mentioned; when OL is mentioned they are using the term to emphasize whther the confessions were obtained freely. The phrase ""ordered liberty"" shows that the Court cares about making sure legal processes are fair and just, even if they don't directly mention a particular rule from the Constitution.",1,Roberts,1,1,6,-,fair trial,1,-,1,1,0,-
Bridges v. California,314 U.S. 252,1941,"In two separate cases, one involving a newspaper and individuals, and the other a labor leader, both were held in contempt of court for expressing opinions on pending cases through editorials and a telegram, respectively. The Supreme Court ruled that such freedoms could only be restricted if the expressions posed a clear and present danger of causing substantial harm, found that neither did this danger. The Court reversed the convictions and sentences.",To emphasize the importance of protecting the fullest opportunities for free discussion and expression. The Court's interpretation of ordered liberty in this case aimed to ensure that the essential attributes of liberty are preserved and that any misuse of these liberties is carefully evaluated,0,Frankfurter,2,0,14,1st amendment,free discussion,1,-,1,1,1,Palko v. Connecticut
Betts v. Brady,316 U.S. 455,1942,"The petitioner, an indigent (poor) defendant, requested appointed counsel for his robbery trial but was denied by the state court judge. The main issue was whether the Fourteenth Amendment required the appointment of counsel for every criminal offense. Ruled that the Fourteenth Amendment did not mandate appointed counsel for every case, as the Sixth Amendment guarantee of counsel only applied to federal trials.The denial of habeas corpus relief for the inmate was affirmed","The right to counsel in a criminal proceeding is described as ""fundamental.” The argument is made that denying the right to counsel, goes against the principles of ""ordered liberty."" Conveys the idea that a fair and just legal system requires certain fundamental rights",0,Black,3,1,6,-,"""right to counsel""",1,-,1,1,1,Palko v. Connecticut
Schneiderman v. United States,320 U.S. 118,1943,"Schneiderman’s citizenship was canceled on grounds of “illegal procurement,” the Supreme Court reversed this judgement because they believed the prosecution did not prove their side with enough sufficient evidence.  Specifically, the petitioner was charged with not being ""attached to the principles of the Constitution of the United States and well disposed to the good order and happiness of the United States"" due to his Communist affiliations. The Supreme Court stated that eventhough the petitioner was involved with the Communist Party of America this did not demonstrate a lack of attachment to the constitution, therefore his citizenship could not be taken away. ","OL is used as a sort of benchmark measuring the petitioner’s beliefs. It is used to represent the balance between the freedom of an individual to express their thoughts while still applying constraints to create a just and orderly society. In the footnote, the Court is essentially measuring whether the petitioner’s beliefs support a stable society where laws govern and protect everyone’s rights, or whether his beliefs would lead to disorganized liberty, where there is less regard for structure.",0,Murphy,1,0,-,1st amendment,freedom of expression,1,-,1,1,1,-
Prince v. Massachusetts,321 U.S. 158,1944,"Sarah Prince, a Jehovah's Witness, was convicted for allowing her ward (a person under protection by the court), a nine-year olf girl, to distribute religious literature on the streets. This conviction was for violating Massachusett's child labor laws. Supreme Court ruled that protectign the welfare of children outweighed Prince's First Amendment rights to freely exercise religion. ","Court argued that proetcting children in order to preserve community welfare is a fundamental conecpt of ordered liberty, thus justifying the limitations of the free exercise of religion (and other individual rights) in order to achieve this. ",,Rutledge,1,1,1,-,"""freedom of religion"" ",1,-,,0,,Palko v. Connecticut
Screws v. United States,325 U.S. 91,1945,"Petitioner Screws, with the help of policeman / petitioner Jones and petitioner / special deputy Kelley arrested and beat up Robert Hall who was convicted for stealing a tire. They belived he was reaching for his gun and beat him until unconsciousness from which he did not wake up. Supreme Court rules in favor of defendants, Screw and his deputies. Their initial convictions were overturned on the grounds that for a conviction under the Civil Rights Act of 1870, the government must prove that the accused acted with the specific intent to deprive the individual of their constitutional rights. ","The part that ordered liberty was used in was to consider the constitutionality of the statute used to convict Screws, and essentially, the statute was a version of the 14th Amendment, and the court says, mm, yes, we like and if it's the state's version of the 14th amendment, we like it. Ordered liberty in this case was then used to see if individuals had the right to due process through law--and if the state had a right to statutorily protect that right",1,Douglas,1,1,-,-,due process,-,1,-,1,1,"Adamson v. California,Betts v. Brady"
United States v. United Mine Workers,330 U.S. 258,1947,"Government placed a restraining order on the union and the president of the union, who were empolyed in government mines. Said that Norris-LaGuardia Act, which prohibited empolyers from using court injunctions against strikes, did not apply to the government as an employer. ","Government was charging the union with civil (restraining order) and criminal contempt in the same case, and ordered liberty was used to argue against that.",1,Rutledge,3,1,-,-,"""due process""",2,3,1,0,1,-
Adamson v. California,332 U.S. 46,1947,"Adamson was tried in state court for first degree murder and did not testify because he did not want affirm his past convictions to the jury. The prosecutor then made comments about his lack of testifying to the jury. Adamson said that this was unconstitutional because of the fifith amendment protecting the right to not testify in federal courts, saying that this should be extend to state courts.",Ruled that the Due Process Clause would not absorb the Self Incrimination Clause (overrulled by Malloy v Hogan),1,Reed,1,1,5,-,protection against self incrimination,1,-,0,0,0,Palko v. Connecticut
Adamson v. California,333 U.S. 46,1947,"Adamson was tried in state court for first degree murder and did not testify because he did not want affirm his past convictions to the jury. The prosecutor then made comments about his lack of testifying to the jury. Adamson said that this was unconstitutional because of the fifith amendment protecting the right to not testify in federal courts, saying that this should be extend to state courts.",Ruled that the Due Process Clause would not absorb the Self Incrimination Clause (overrulled by Malloy v Hogan),1,Frankfurter,2,1,5,-,protection against self incrimination,1,-,0,0,0,Palko v. Connecticut
